msisdn,called_number,call_time,duration,call_status,call_type
0512000001,+34698765432,2025-06-04 11:51:11,13,abouti,international
0512000003,0541200002,2025-06-03 22:19:36,24,abouti,national
0512000003,+34612345678,2025-06-03 21:32:57,13,abouti,international
0512000001,+34698765432,2025-06-03 07:28:05,24,abouti,international
0512000001,+34698765432,2025-06-01 11:42:31,9,abouti,international
0512000003,+34612345678,2025-06-02 22:18:26,17,abouti,international
0512000003,0541200008,2025-06-04 21:40:40,8,abouti,national
0512000003,+44789123456,2025-06-04 19:13:39,18,abouti,international
0512000003,+49172345678,2025-06-02 22:28:44,20,abouti,international
0512000001,+44712345678,2025-06-01 10:50:44,10,echoue,international
0512000003,+44712345678,2025-06-02 19:01:27,18,abouti,international
0512000002,0541200006,2025-06-02 15:13:35,12,abouti,national
0512000002,0543300001,2025-06-01 14:07:13,25,abouti,national
0512000001,+34698765432,2025-06-02 11:32:54,13,abouti,international
0512000001,0541200004,2025-06-03 09:51:11,14,abouti,national
0512000001,+44712345678,2025-06-04 09:22:14,23,echoue,international
0512000003,0541200007,2025-06-02 20:02:51,15,echoue,national
0512000001,0541200001,2025-06-04 10:57:21,24,abouti,national
0512000001,+44712345678,2025-06-04 07:45:38,28,abouti,international
0512000003,+49172345678,2025-06-01 22:27:53,10,abouti,international
0512000002,0541200001,2025-06-04 13:11:56,28,abouti,national
0512000001,0542200001,2025-06-02 08:18:28,146,abouti,national
0512000003,0541200002,2025-06-01 20:33:40,21,abouti,national
0512000003,0541200004,2025-06-03 21:01:17,26,abouti,national
0512000001,0541200003,2025-06-01 08:31:12,25,echoue,national
0512000002,+34612345678,2025-06-02 16:05:20,24,echoue,international
0512000002,0541200008,2025-06-02 16:42:09,11,abouti,national
0512000001,+49176543210,2025-06-04 10:08:39,11,abouti,international
0512000001,0541200002,2025-06-01 11:20:26,10,echoue,national
0512000002,+34698765432,2025-06-02 13:54:36,26,abouti,international
0512000001,0541200007,2025-06-01 09:12:57,11,abouti,national
0512000001,+34612345678,2025-06-02 10:46:24,28,abouti,international
0512000003,+44789123456,2025-06-02 19:38:46,17,abouti,international
0512000001,0541200006,2025-06-01 07:19:58,23,abouti,national
0512000001,0541200008,2025-06-04 07:45:49,23,abouti,national
0512000002,0541200003,2025-06-02 17:48:58,17,abouti,national
0512000001,0541200007,2025-06-01 07:41:59,17,abouti,national
0540100001,0669000003,2025-06-02 17:21:39,274,abouti,national
0512000002,0541200004,2025-06-04 15:44:58,20,abouti,national
0512000001,+44789123456,2025-06-04 09:54:46,25,abouti,international
0512000003,0541200008,2025-06-01 19:31:29,11,abouti,national
0512000002,+34698765432,2025-06-01 13:00:32,23,abouti,international
0512000001,0541200008,2025-06-03 10:08:30,25,abouti,national
0512000003,0544400002,2025-06-02 21:15:53,122,abouti,national
0512000002,0543300002,2025-06-03 15:32:51,121,abouti,national
0512000001,0542200002,2025-06-04 12:24:42,13,abouti,national
0512000003,0541200005,2025-06-04 19:17:38,20,abouti,national
0512000003,+34612345678,2025-06-03 20:08:48,22,abouti,international
0512000003,0541200002,2025-06-03 19:53:26,10,abouti,national
0512000001,0541200001,2025-06-03 08:54:31,23,abouti,national
0512000003,0541200007,2025-06-01 22:44:43,10,abouti,national
0512000001,0541200003,2025-06-01 11:02:53,14,abouti,national
0512000003,0541200006,2025-06-04 19:56:43,28,abouti,national
0512000001,+49172345678,2025-06-03 12:18:17,11,abouti,international
0512000002,+34698765432,2025-06-03 13:17:43,19,abouti,international
0512000003,0544400002,2025-06-03 22:02:00,163,abouti,national
0512000003,0541200002,2025-06-02 20:59:28,27,abouti,national
0512000003,0541200001,2025-06-04 19:30:00,13,abouti,national
0512000002,0543300002,2025-06-04 15:47:31,240,abouti,national
0512000002,0541200001,2025-06-02 13:41:05,23,abouti,national
0512000001,0541200005,2025-06-03 09:30:46,18,abouti,national
0512000002,0543300001,2025-06-03 16:21:51,9,echoue,national
0512000001,+44712345678,2025-06-01 08:18:07,27,abouti,international
0512000003,0541200002,2025-06-02 21:21:18,21,abouti,national
0512000003,0541200007,2025-06-02 21:04:05,13,abouti,national
0512000002,0541200005,2025-06-04 17:38:13,14,abouti,national
0512000003,+34612345678,2025-06-02 22:57:36,24,abouti,international
0512000001,0541200003,2025-06-04 08:51:00,17,abouti,national
0512000001,0541200006,2025-06-04 08:50:27,15,abouti,national
0512000003,0541200001,2025-06-04 19:04:34,22,abouti,national
0512000002,0541200004,2025-06-01 14:47:12,26,echoue,national
0512000002,+34612345678,2025-06-04 13:52:18,13,abouti,international
0512000002,0541200002,2025-06-03 16:01:06,8,abouti,national
0512000002,0541200008,2025-06-02 18:37:03,12,abouti,national
0512000001,+49172345678,2025-06-03 10:07:01,14,echoue,international
0512000001,0541200007,2025-06-01 12:36:22,13,abouti,national
0512000002,0541200007,2025-06-03 15:11:53,24,abouti,national
0512000001,0541200005,2025-06-02 11:28:47,14,echoue,national
0512000002,+44712345678,2025-06-04 17:03:25,10,abouti,international
0512000001,+34698765432,2025-06-02 09:03:18,9,abouti,international
0512000001,0541200004,2025-06-02 11:17:38,15,abouti,national
0512000002,0541200008,2025-06-01 18:11:24,28,abouti,national
0512000001,0541200008,2025-06-01 07:59:56,25,abouti,national
0512000001,0541200006,2025-06-03 07:05:16,28,abouti,national
0512000003,+34698765432,2025-06-03 19:15:51,26,abouti,international
0512000002,0541200006,2025-06-02 13:39:56,9,abouti,national
0512000002,+49172345678,2025-06-02 13:05:35,8,abouti,international
0512000002,0541200006,2025-06-01 14:05:23,22,echoue,national
0512000003,+49176543210,2025-06-02 21:09:41,14,echoue,international
0512000001,0541200006,2025-06-03 12:04:19,9,abouti,national
0512000001,0541200003,2025-06-02 07:50:30,23,abouti,national
0512000002,0541200003,2025-06-03 17:28:29,17,abouti,national
0512000002,+44789123456,2025-06-03 18:07:21,22,abouti,international
0512000002,+44712345678,2025-06-01 15:31:41,28,echoue,international
0512000003,0541200008,2025-06-02 19:30:22,15,abouti,national
0512000001,0542200002,2025-06-04 10:23:02,19,abouti,national
0512000002,0541200001,2025-06-04 18:45:47,27,abouti,national
0512000002,0541200008,2025-06-03 17:56:58,20,abouti,national
0512000001,+49172345678,2025-06-02 11:06:08,27,abouti,international
0512000002,0541200001,2025-06-01 13:34:14,20,abouti,national
0512000001,0541200002,2025-06-01 11:04:13,15,echoue,national
0512000001,+34612345678,2025-06-01 09:42:13,18,abouti,international
0512000002,+34612345678,2025-06-03 13:52:54,17,abouti,international
0512000002,0541200003,2025-06-02 17:40:58,26,abouti,national
0512000001,0541200006,2025-06-04 09:03:00,17,echoue,national
0512000001,+49176543210,2025-06-04 11:30:16,17,abouti,international
0512000002,0543300001,2025-06-02 16:09:00,18,abouti,national
0512000003,0541200001,2025-06-03 21:02:31,13,abouti,national
0512000001,0541200001,2025-06-03 08:09:03,9,echoue,national
0512000002,+49176543210,2025-06-04 13:45:33,13,abouti,international
0512000001,+49176543210,2025-06-01 12:54:20,16,abouti,international
0512000002,+44712345678,2025-06-02 17:12:31,9,abouti,international
0512000003,+34698765432,2025-06-02 19:10:18,14,abouti,international
0512000001,0541200005,2025-06-03 12:17:09,13,abouti,national
0512000002,0541200008,2025-06-02 15:10:50,17,abouti,national
0512000003,0541200003,2025-06-01 21:58:51,17,abouti,national
0512000002,0541200002,2025-06-04 16:45:27,16,abouti,national
0512000003,+34698765432,2025-06-03 20:42:28,27,abouti,international
0512000002,0541200006,2025-06-02 18:22:10,19,abouti,national
0512000002,+44712345678,2025-06-04 15:52:19,9,echoue,international
0512000003,+44712345678,2025-06-01 21:56:45,22,abouti,international
0512000001,0541200008,2025-06-02 08:22:39,22,abouti,national
0512000002,0541200004,2025-06-03 14:50:07,14,abouti,national
0512000002,+49176543210,2025-06-01 17:07:50,23,abouti,international
0512000001,0541200005,2025-06-01 12:08:56,14,abouti,national
0512000001,0542200001,2025-06-03 08:01:30,217,abouti,national
0512000002,0541200007,2025-06-04 16:05:26,26,abouti,national
0512000001,0541200001,2025-06-02 12:33:41,22,abouti,national
0512000003,0541200001,2025-06-01 20:49:55,13,abouti,national
0540100001,0669000003,2025-06-01 15:19:38,209,abouti,national
0512000003,0544400001,2025-06-03 20:34:27,187,abouti,national
0512000002,+49176543210,2025-06-03 13:14:08,12,abouti,international
0512000002,0541200007,2025-06-03 18:10:39,28,abouti,national
0512000001,+49176543210,2025-06-03 12:49:20,24,echoue,international
0512000002,0541200003,2025-06-02 13:42:19,22,abouti,national
0512000003,+34698765432,2025-06-03 19:06:09,21,abouti,international
0512000003,+44789123456,2025-06-03 20:26:52,22,echoue,international
0512000003,0541200007,2025-06-01 20:38:27,27,abouti,national
0512000003,+44712345678,2025-06-04 22:12:06,26,abouti,international
0512000001,+49176543210,2025-06-03 08:39:40,13,abouti,international
0512000002,0541200005,2025-06-02 13:08:22,15,abouti,national
0512000001,+34612345678,2025-06-02 07:09:03,20,abouti,international
0512000003,+44789123456,2025-06-04 20:36:32,26,echoue,international
0512000001,0542200001,2025-06-02 10:19:44,21,abouti,national
0512000002,+34612345678,2025-06-01 13:13:39,11,abouti,international
0512000003,0541200004,2025-06-03 19:54:38,19,abouti,national
0512000003,0544400001,2025-06-04 20:08:51,56,abouti,national
0512000001,0541200008,2025-06-04 08:49:52,9,abouti,national
0512000001,0541200006,2025-06-01 09:07:15,16,echoue,national
0512000001,+34698765432,2025-06-02 12:46:20,25,abouti,international
0512000001,+34612345678,2025-06-04 12:26:06,15,abouti,international
0512000001,0541200003,2025-06-01 08:46:00,14,echoue,national
0512000002,0541200001,2025-06-01 13:24:21,16,abouti,national
0512000003,0541200006,2025-06-02 22:46:47,16,echoue,national
0512000001,0541200008,2025-06-03 08:15:13,22,abouti,national
0512000002,+34612345678,2025-06-02 16:34:54,24,abouti,international
0512000002,0541200004,2025-06-04 17:15:39,28,abouti,national
0512000001,+44789123456,2025-06-03 07:23:05,20,abouti,international
0512000002,0541200007,2025-06-04 15:44:07,15,abouti,national
0512000001,0542200001,2025-06-04 07:44:11,109,abouti,national
0512000002,0541200003,2025-06-04 13:10:17,8,abouti,national
0512000002,0541200001,2025-06-01 17:31:11,19,echoue,national
0512000002,0541200004,2025-06-04 13:12:01,17,abouti,national
0512000003,0541200006,2025-06-04 19:43:07,20,abouti,national
0512000002,0541200003,2025-06-04 18:02:37,18,abouti,national
0512000002,0541200007,2025-06-01 13:44:21,26,abouti,national
0512000001,0541200003,2025-06-01 07:16:39,10,abouti,national
0512000003,+34612345678,2025-06-04 19:17:15,18,abouti,international
0512000002,0541200005,2025-06-01 13:42:24,12,abouti,national
0512000003,0544400002,2025-06-01 20:46:46,9,echoue,national
0512000002,+49176543210,2025-06-02 17:35:31,26,abouti,international
0512000002,+49176543210,2025-06-03 13:39:44,24,abouti,international
0512000002,0541200004,2025-06-01 13:04:31,27,abouti,national
0512000002,0541200005,2025-06-01 18:10:48,28,abouti,national
0512000001,0541200005,2025-06-01 07:16:09,8,abouti,national
0512000003,+49172345678,2025-06-03 19:07:03,28,abouti,international
0512000001,0541200007,2025-06-04 07:05:27,13,abouti,national
0512000001,0542200002,2025-06-02 12:27:25,20,abouti,national
0540100001,0669000004,2025-06-02 09:21:12,415,abouti,national
0512000001,0541200008,2025-06-01 12:59:47,20,abouti,national
0512000001,0541200002,2025-06-02 09:29:41,16,abouti,national
0512000002,0541200003,2025-06-02 15:53:45,11,echoue,national
0512000002,0541200001,2025-06-02 15:26:28,10,abouti,national
0512000003,+34612345678,2025-06-03 19:19:18,26,abouti,international
0512000002,0541200002,2025-06-04 13:55:53,28,abouti,national
0512000003,+49176543210,2025-06-01 22:46:31,19,abouti,international
0512000003,0541200005,2025-06-02 19:35:04,28,abouti,national
0512000003,+44712345678,2025-06-04 20:47:04,24,abouti,international
0512000003,+44712345678,2025-06-03 19:20:33,14,abouti,international
0512000003,0544400001,2025-06-01 20:57:09,234,abouti,national
0512000001,+44712345678,2025-06-01 12:58:35,12,abouti,international
0512000003,0544400002,2025-06-04 19:08:19,194,abouti,national
0512000002,+34698765432,2025-06-04 13:59:36,28,abouti,international
0512000002,0543300001,2025-06-01 17:02:06,8,echoue,national
0512000002,0543300001,2025-06-02 16:28:34,8,abouti,national
0512000002,0541200004,2025-06-01 14:48:49,9,echoue,national
0512000003,+34698765432,2025-06-02 19:40:54,21,abouti,international
0512000003,+49176543210,2025-06-04 20:46:50,25,abouti,international
0512000002,+44789123456,2025-06-04 13:27:42,18,abouti,international
0512000003,0541200007,2025-06-03 19:43:33,26,abouti,national
0512000001,0541200006,2025-06-03 07:25:26,22,abouti,national
0512000003,+34612345678,2025-06-01 22:54:01,15,echoue,international
0540100001,0669000002,2025-06-02 11:40:58,462,abouti,national
0512000002,0541200002,2025-06-01 15:47:37,12,echoue,national
0512000001,+44789123456,2025-06-02 09:34:05,25,abouti,international
0512000001,0542200001,2025-06-04 11:19:30,20,abouti,national
0512000001,0541200004,2025-06-02 07:32:05,21,abouti,national
0512000001,+49172345678,2025-06-02 07:32:27,12,abouti,international
0512000001,+44789123456,2025-06-02 07:02:20,26,abouti,international
0512000001,+34612345678,2025-06-04 07:11:44,18,abouti,international
0512000001,+44789123456,2025-06-02 10:22:40,9,abouti,international
0512000002,0541200003,2025-06-02 16:46:30,11,abouti,national
0512000002,0541200008,2025-06-03 17:32:03,20,abouti,national
0512000002,0541200003,2025-06-02 17:58:42,21,abouti,national
0512000003,0541200006,2025-06-04 21:03:58,10,abouti,national
0512000001,0542200001,2025-06-02 09:24:37,13,echoue,national
0540100001,0669000002,2025-06-01 17:56:34,135,abouti,national
0512000003,+44789123456,2025-06-02 20:31:19,8,echoue,international
0512000003,0541200007,2025-06-02 19:28:44,8,abouti,national
0512000001,0541200001,2025-06-04 12:46:18,10,echoue,national
0512000001,+44789123456,2025-06-03 07:57:44,12,abouti,international
0512000001,0541200003,2025-06-01 10:03:03,11,abouti,national
0512000003,0541200003,2025-06-01 19:49:36,21,abouti,national
0512000003,0541200001,2025-06-04 19:10:00,23,abouti,national
0512000001,0541200008,2025-06-01 10:34:22,27,abouti,national
0512000001,0541200004,2025-06-03 09:21:33,27,abouti,national
0512000002,0541200006,2025-06-02 18:31:04,26,abouti,national
0512000001,0542200001,2025-06-01 11:25:36,100,abouti,national
0512000001,0541200002,2025-06-04 12:07:45,12,abouti,national
0512000001,+34612345678,2025-06-03 09:03:06,10,abouti,international
0512000003,+44789123456,2025-06-03 19:46:27,11,abouti,international
0512000003,0544400001,2025-06-02 21:57:29,19,abouti,national
0512000002,0543300001,2025-06-03 16:39:06,22,abouti,national
0512000001,0541200002,2025-06-01 11:23:14,14,echoue,national
0512000001,+49176543210,2025-06-04 08:24:04,21,abouti,international
0512000002,0541200007,2025-06-03 17:56:45,20,echoue,national
0512000001,+44712345678,2025-06-04 10:43:40,9,abouti,international
0512000002,+34612345678,2025-06-03 17:31:48,25,abouti,international
0512000002,+49176543210,2025-06-03 15:18:54,23,echoue,international
0512000001,+34612345678,2025-06-01 10:15:10,28,abouti,international
0512000003,+34612345678,2025-06-01 19:36:57,26,abouti,international
0512000003,+34698765432,2025-06-03 21:39:20,20,echoue,international
0512000002,+34612345678,2025-06-02 14:22:57,9,abouti,international
0512000003,0541200003,2025-06-03 20:29:30,19,abouti,national
0512000001,+49172345678,2025-06-01 09:49:45,15,abouti,international
0512000002,0543300001,2025-06-02 14:18:26,23,abouti,national
0512000002,0541200005,2025-06-03 13:44:14,12,abouti,national
0512000002,0541200001,2025-06-01 18:30:53,15,abouti,national
0512000001,0542200002,2025-06-04 08:11:42,11,abouti,national
0512000002,0543300001,2025-06-02 15:01:55,21,abouti,national
0512000001,0541200007,2025-06-02 10:14:09,10,abouti,national
0512000001,+34698765432,2025-06-04 07:53:44,22,abouti,international
0512000001,+49172345678,2025-06-01 07:34:14,10,abouti,international
0512000001,+49172345678,2025-06-01 07:03:01,20,abouti,international
0512000003,+44712345678,2025-06-01 19:25:23,11,abouti,international
0512000002,0541200005,2025-06-03 14:33:13,25,echoue,national
0512000003,0544400002,2025-06-01 22:31:30,50,abouti,national
0512000001,+44789123456,2025-06-03 07:46:50,27,abouti,international
0512000002,+34612345678,2025-06-01 13:44:57,18,abouti,international
0512000002,0541200006,2025-06-04 15:19:40,11,abouti,national
0512000003,0541200002,2025-06-02 22:49:12,18,echoue,national
0512000002,0541200003,2025-06-04 17:18:47,14,abouti,national
0512000001,0541200007,2025-06-02 08:05:07,14,abouti,national
0512000001,0541200008,2025-06-04 12:16:41,15,abouti,national
0512000002,0541200007,2025-06-04 13:13:54,16,abouti,national
0512000001,0541200001,2025-06-03 07:49:45,21,abouti,national
0512000001,0541200006,2025-06-02 09:42:54,8,abouti,national
0512000003,+44712345678,2025-06-02 19:12:18,20,abouti,international
0512000003,0541200001,2025-06-04 20:41:43,18,abouti,national
0512000002,0541200003,2025-06-01 18:22:17,26,echoue,national
0512000001,+34698765432,2025-06-04 10:07:37,24,echoue,international
0512000001,0541200008,2025-06-01 07:22:18,25,abouti,national
0512000003,0541200008,2025-06-03 19:40:27,23,abouti,national
0512000003,0541200005,2025-06-03 21:07:06,16,echoue,national
0512000002,0541200005,2025-06-02 17:23:24,17,abouti,national
0512000001,0541200003,2025-06-03 07:10:55,13,abouti,national
0512000003,+44789123456,2025-06-02 22:18:13,18,abouti,international
0512000002,+44789123456,2025-06-04 14:50:51,9,echoue,international
0512000002,0541200006,2025-06-03 13:33:18,23,abouti,national
0512000001,+49172345678,2025-06-02 08:15:15,26,abouti,international
0512000002,+49176543210,2025-06-04 18:57:56,16,abouti,international
0512000003,0541200003,2025-06-02 21:23:40,24,abouti,national
0512000002,0541200002,2025-06-02 13:55:40,20,abouti,national
0512000001,0541200001,2025-06-03 07:39:58,24,abouti,national
0512000003,+44712345678,2025-06-04 22:50:53,24,echoue,international
0512000003,0541200008,2025-06-04 21:28:48,10,abouti,national
0512000003,0541200006,2025-06-01 19:43:06,8,abouti,national
0512000003,0541200007,2025-06-01 20:32:12,26,abouti,national
0512000003,0541200005,2025-06-04 19:53:39,28,abouti,national
0512000002,+34612345678,2025-06-02 18:09:16,23,abouti,international
0512000003,0541200005,2025-06-01 19:29:40,27,abouti,national
0512000003,+34612345678,2025-06-02 20:22:56,24,echoue,international
0512000001,0541200004,2025-06-03 07:57:45,22,abouti,national
0512000003,0541200003,2025-06-01 19:53:20,8,abouti,national
0512000001,+44789123456,2025-06-01 07:59:17,22,abouti,international
0512000002,0541200006,2025-06-04 16:16:11,14,abouti,national
0512000003,0541200008,2025-06-04 19:21:13,27,abouti,national
0512000001,0541200004,2025-06-04 09:42:11,19,abouti,national
0512000001,0541200006,2025-06-02 09:32:45,27,abouti,national
0512000001,0542200002,2025-06-04 09:51:26,27,abouti,national
0512000002,0541200002,2025-06-03 13:26:29,11,abouti,national
0512000001,0541200003,2025-06-04 07:14:14,27,abouti,national
0512000002,0541200005,2025-06-01 13:40:29,21,abouti,national
0512000002,0543300001,2025-06-03 15:50:04,211,abouti,national
0512000003,0541200006,2025-06-03 22:13:50,13,abouti,national
0512000002,+49176543210,2025-06-02 14:30:45,17,abouti,international
0512000001,0541200002,2025-06-04 08:11:19,27,abouti,national
0512000002,0541200001,2025-06-04 14:46:31,10,abouti,national
0512000001,+49176543210,2025-06-02 07:47:41,27,abouti,international
0512000001,+34698765432,2025-06-03 07:19:19,22,abouti,international
0512000001,+44789123456,2025-06-01 12:50:11,13,abouti,international
0512000001,0541200001,2025-06-03 11:29:50,17,abouti,national
0512000002,+49176543210,2025-06-04 13:51:39,21,abouti,international
0512000002,+44789123456,2025-06-01 13:06:09,21,abouti,international
0512000002,+44789123456,2025-06-03 18:42:55,16,abouti,international
0512000002,+44712345678,2025-06-03 13:06:34,19,abouti,international
0512000002,0541200005,2025-06-02 17:47:26,21,echoue,national
0512000003,0544400002,2025-06-02 22:41:13,28,abouti,national
0540100001,0669000001,2025-06-03 10:06:29,313,abouti,national
0512000003,+34612345678,2025-06-01 19:18:43,11,abouti,international
0512000002,+44789123456,2025-06-03 18:17:04,14,abouti,international
0512000002,+49172345678,2025-06-02 13:50:13,10,abouti,international
0512000001,+49172345678,2025-06-03 07:07:11,26,abouti,international
0512000002,0541200001,2025-06-03 17:22:22,15,abouti,national
0512000002,0541200008,2025-06-03 16:07:14,26,abouti,national
0512000003,0541200003,2025-06-04 21:04:58,10,abouti,national
0512000003,+34612345678,2025-06-03 19:36:45,25,abouti,international
0512000002,0541200008,2025-06-03 15:46:02,17,echoue,national
0512000002,0541200006,2025-06-01 17:18:13,22,abouti,national
0512000002,0541200003,2025-06-04 15:17:56,19,abouti,national
0512000001,0541200002,2025-06-01 09:44:50,12,abouti,national
0512000002,0541200006,2025-06-02 15:37:21,24,abouti,national
0512000001,0541200008,2025-06-04 07:07:22,22,abouti,national
0512000001,0541200004,2025-06-02 08:02:59,12,abouti,national
0512000002,0541200003,2025-06-02 13:23:23,28,abouti,national
0512000001,0541200003,2025-06-01 07:28:40,12,abouti,national
0512000001,0541200002,2025-06-03 07:45:46,10,abouti,national
0512000003,+49172345678,2025-06-02 19:47:23,23,abouti,international
0512000003,+34612345678,2025-06-02 19:26:53,28,abouti,international
0512000002,0541200004,2025-06-03 16:07:16,12,abouti,national
0512000001,0541200002,2025-06-02 07:59:55,15,abouti,national
0512000002,0541200007,2025-06-03 16:37:17,27,abouti,national
0540100001,0669000004,2025-06-01 16:54:03,236,abouti,national
0512000003,+34698765432,2025-06-04 19:16:48,22,abouti,international
0512000001,0541200002,2025-06-02 08:48:46,15,abouti,national
0512000001,0541200007,2025-06-02 09:18:55,20,abouti,national
0512000001,0541200002,2025-06-01 11:41:31,28,abouti,national
0512000001,0542200002,2025-06-03 07:06:24,58,abouti,national
0540100001,0669000003,2025-06-04 13:00:04,75,abouti,national
0512000001,0541200003,2025-06-04 11:11:58,19,abouti,national
0512000003,0544400001,2025-06-02 21:46:18,11,abouti,national
0512000002,+49172345678,2025-06-01 13:44:52,23,abouti,international
0512000001,0541200007,2025-06-02 07:18:50,12,abouti,national
0512000003,0544400002,2025-06-01 21:06:29,19,abouti,national
0512000001,+44789123456,2025-06-04 11:43:02,21,abouti,international
0512000001,+44789123456,2025-06-03 07:10:24,20,abouti,international
0512000003,0541200004,2025-06-04 21:56:36,21,abouti,national
0512000001,+44789123456,2025-06-01 11:33:43,17,echoue,international
0512000001,+44789123456,2025-06-04 09:11:29,20,abouti,international
0512000003,+34612345678,2025-06-04 19:22:53,14,abouti,international
0512000002,+49172345678,2025-06-03 13:44:48,11,abouti,international
0512000002,+44789123456,2025-06-01 18:39:57,10,abouti,international
0512000001,+49172345678,2025-06-02 07:24:05,9,abouti,international
0512000002,0543300002,2025-06-01 16:08:06,13,abouti,national
0512000001,0541200008,2025-06-01 10:35:18,13,echoue,national
0512000001,0541200004,2025-06-02 09:13:47,16,abouti,national
0512000002,0541200003,2025-06-04 17:26:11,16,echoue,national
0512000002,0541200005,2025-06-01 16:45:41,23,abouti,national
0512000003,0541200007,2025-06-01 21:11:50,21,echoue,national
0512000001,0541200002,2025-06-02 07:08:21,23,abouti,national
0512000001,0541200005,2025-06-03 08:12:00,23,echoue,national
0512000002,+44712345678,2025-06-04 13:16:43,15,abouti,international
0512000001,+34612345678,2025-06-01 07:33:40,25,abouti,international
0512000003,+44712345678,2025-06-04 22:54:24,15,abouti,international
0512000003,+49176543210,2025-06-02 19:59:43,23,abouti,international
0512000001,+44789123456,2025-06-01 10:08:31,19,abouti,international
0512000001,0541200008,2025-06-02 07:48:08,25,abouti,national
0512000002,0541200006,2025-06-03 17:37:02,26,abouti,national
0512000002,0541200004,2025-06-04 17:07:14,16,abouti,national
0512000001,+44712345678,2025-06-02 10:43:14,17,echoue,international
0540100001,0669000003,2025-06-01 16:41:48,219,abouti,national
0512000003,+34698765432,2025-06-04 19:26:35,23,abouti,international
0512000003,+44789123456,2025-06-03 22:43:06,12,abouti,international
0512000001,0541200002,2025-06-01 07:33:48,11,abouti,national
0512000003,0541200004,2025-06-01 19:58:04,23,abouti,national
0512000001,0541200005,2025-06-01 08:51:44,25,abouti,national
0512000001,0541200005,2025-06-04 07:06:29,28,abouti,national
0512000003,0541200001,2025-06-01 19:13:37,24,abouti,national
0512000002,0541200004,2025-06-01 17:31:32,26,abouti,national
0512000001,0542200001,2025-06-03 11:36:46,14,abouti,national
0512000001,0541200006,2025-06-01 10:18:52,28,abouti,national
0512000003,+44712345678,2025-06-02 19:32:14,18,abouti,international
0512000002,0541200001,2025-06-01 18:09:58,9,abouti,national
0512000002,0541200003,2025-06-01 15:10:44,26,abouti,national
0512000002,0541200008,2025-06-01 14:31:34,8,abouti,national
0512000003,0541200001,2025-06-02 19:14:45,24,abouti,national
0512000003,0541200004,2025-06-04 20:40:19,23,abouti,national
0512000001,0541200007,2025-06-01 08:10:45,15,abouti,national
0512000002,0541200004,2025-06-01 17:55:12,26,echoue,national
0512000001,0541200002,2025-06-04 07:36:08,22,abouti,national
0512000003,+44789123456,2025-06-03 20:08:45,14,echoue,international
0512000001,+44712345678,2025-06-04 10:18:10,26,abouti,international
0512000003,0541200002,2025-06-01 20:11:27,18,echoue,national
0512000001,0541200006,2025-06-01 07:28:19,21,abouti,national
0512000002,0541200004,2025-06-02 18:31:35,8,echoue,national
0512000001,+49176543210,2025-06-02 08:39:59,8,abouti,international
0512000001,0541200005,2025-06-02 07:24:03,24,abouti,national
0512000002,0543300002,2025-06-03 18:39:47,18,echoue,national
