msisdn,called_number,call_time,duration,call_status,call_type
0612000003,0661100002,2025-06-01 20:15:31,8,abouti,national
0612000001,+33788991100,2025-06-04 06:51:18,18,abouti,international
0612000003,0661100001,2025-06-04 19:19:10,17,abouti,national
0612000003,0661100005,2025-06-03 18:28:29,15,abouti,national
0612000001,+33755443322,2025-06-02 11:48:29,8,abouti,international
0612000001,0661100002,2025-06-01 06:59:24,25,abouti,national
0612000001,+33612345678,2025-06-02 08:15:17,12,echoue,international
0612000002,0661100008,2025-06-01 15:02:18,12,abouti,national
0612000002,0661100002,2025-06-01 13:04:18,25,abouti,national
0612000002,0661100005,2025-06-02 12:33:57,10,abouti,national
0612000001,+32477000111,2025-06-03 09:36:24,18,abouti,international
0612000003,+33788991100,2025-06-03 18:09:48,11,abouti,international
0612000002,0661100004,2025-06-03 16:58:15,15,abouti,national
0612000003,0661100003,2025-06-02 18:04:12,26,abouti,national
0612000002,+33698765432,2025-06-04 16:24:26,13,abouti,international
0612000003,0661100005,2025-06-03 22:40:20,28,abouti,national
0612000003,+33755443322,2025-06-03 22:40:50,17,abouti,international
0612000001,+33612345678,2025-06-01 06:46:29,11,abouti,international
0612000002,0662300002,2025-06-02 15:36:14,24,abouti,national
0612000002,0661100002,2025-06-02 12:52:36,12,abouti,national
0612000002,+32499887766,2025-06-02 17:58:58,9,echoue,international
0612000001,+33755443322,2025-06-02 10:11:46,25,abouti,international
0612000002,0661100008,2025-06-03 14:15:47,14,abouti,national
0612000002,+33698765432,2025-06-02 16:08:06,9,abouti,international
0612000003,+32477000111,2025-06-03 18:58:46,10,abouti,international
0612000002,+33755443322,2025-06-02 16:42:57,11,abouti,international
0612000002,+33698765432,2025-06-02 15:20:10,17,abouti,international
0612000003,+33698765432,2025-06-01 20:05:15,17,abouti,international
0612000003,0662400001,2025-06-03 22:54:10,11,abouti,national
0612000002,+33698765432,2025-06-02 12:23:35,19,abouti,international
0612000002,0661100004,2025-06-04 13:46:57,13,abouti,national
0612000003,0661100006,2025-06-01 18:44:59,22,abouti,national
0612000001,+33755443322,2025-06-03 06:44:08,23,abouti,international
0612000003,0661100007,2025-06-01 18:17:40,20,abouti,national
0612000001,0661100008,2025-06-01 06:24:17,28,abouti,national
0612000003,0661100003,2025-06-02 21:06:21,21,abouti,national
0612000002,+33698765432,2025-06-04 14:50:24,20,abouti,international
0612000003,0661100003,2025-06-01 19:20:23,12,abouti,national
0612000001,+32477000111,2025-06-02 07:15:30,21,echoue,international
0612000003,0661100001,2025-06-02 22:38:56,14,echoue,national
